[May 26 02:31:16],Asterisk,18.17.1 built by root @ localhost.localdomain on a x86_64 running Linux on 2023-05-26 06:23:16 UTC 
[May 26 02:31:16],NOTICE[50956],loader.c: 343 modules will be loaded. 
[May 26 02:31:16],NOTICE[50956],res_config_ldap.c: No directory user found, anonymous binding as default. 
[May 26 02:31:16],ERROR[50956],res_config_ldap.c: No directory URL or host found. 
[May 26 02:31:16],ERROR[50956],res_config_ldap.c: Cannot load LDAP RealTime driver. 
[May 26 02:31:16],ERROR[50956],res_config_pgsql.c: PostgreSQL RealTime: Failed to connect database asterisk on 127.0.0.1: 
[May 26 02:31:16],WARNING[50956],res_config_pgsql.c: PostgreSQL RealTime: Couldn't establish connection. Check debug. 
[May 26 02:31:16],NOTICE[50956],cdr.c: CDR simple logging enabled. 
[May 26 02:31:16],WARNING[50956],config.c: parse error: No category context for line 310 of /etc/asterisk/geolocation.conf 
[May 26 02:31:16],ERROR[50956],res_sorcery_config.c: Contents of config file 'geolocation.conf' are invalid and cannot be parsed 
[May 26 02:31:16],WARNING[50956],config.c: parse error: No category context for line 310 of /etc/asterisk/geolocation.conf 
[May 26 02:31:16],ERROR[50956],res_sorcery_config.c: Contents of config file 'geolocation.conf' are invalid and cannot be parsed 
[May 26 02:31:17],WARNING[50956],res_phoneprov.c: Unable to find a valid server address or name. 
[May 26 02:31:17],NOTICE[50956],res_smdi.c: No SMDI interfaces are available to listen on, not starting SMDI listener. 
[May 26 02:31:17],NOTICE[50956],chan_dahdi.c: Ignoring any changes to 'userbase' (on reload) at line 23. 
[May 26 02:31:17],NOTICE[50956],chan_dahdi.c: Ignoring any changes to 'vmsecret' (on reload) at line 31. 
[May 26 02:31:17],NOTICE[50956],chan_dahdi.c: Ignoring any changes to 'hassip' (on reload) at line 35. 
[May 26 02:31:17],NOTICE[50956],chan_dahdi.c: Ignoring any changes to 'hasiax' (on reload) at line 39. 
[May 26 02:31:17],NOTICE[50956],chan_dahdi.c: Ignoring any changes to 'hasmanager' (on reload) at line 47. 
[May 26 02:31:17],NOTICE[50956],chan_skinny.c: Configuring skinny from skinny.conf 
[May 26 02:31:17],ERROR[50956],ari/config.c: No configured users for ARI 
[May 26 02:31:17],NOTICE[50956],confbridge/conf_config_parser.c: Adding default_menu menu to app_confbridge 
[May 26 02:31:17],NOTICE[50956],cdr_pgsql.c: cdr_pgsql configuration contains no global section, skipping module load. 
[May 26 02:31:17],NOTICE[50956],cel_custom.c: No mappings found in cel_custom.conf. Not logging CEL to custom CSVs. 
[May 26 02:31:17],WARNING[50956],cel_pgsql.c: CEL pgsql config file missing global section. 
[May 26 02:31:17],WARNING[50956],pbx.c: Unable to register extension 's' priority 1 in 'usuarios', already in use 
[May 26 02:31:17],WARNING[50956],pbx_config.c: Unable to register extension at line 940 of extensions.conf 
[May 26 02:31:17],WARNING[50956],pbx.c: Unable to register extension 's' priority 2 in 'usuarios', already in use 
[May 26 02:31:17],WARNING[50956],pbx_config.c: Unable to register extension at line 942 of extensions.conf 
[May 26 02:31:17],WARNING[50956],pbx.c: Unable to register extension '2001' priority 1 in 'usuarios', already in use 
